name,ch.uzh.ciclassifier.features.configuration.EnvSize,ch.uzh.ciclassifier.features.configuration.LintScore,ch.uzh.ciclassifier.features.configuration.NumberOfComments,ch.uzh.ciclassifier.features.configuration.NumberOfConfigurationLines,ch.uzh.ciclassifier.features.configuration.NumberOfJobs,ch.uzh.ciclassifier.features.configuration.NumberOfNotifications,ch.uzh.ciclassifier.features.configuration.NumberOfStages,ch.uzh.ciclassifier.features.configuration.ParseScore,ch.uzh.ciclassifier.features.configuration.UniqueInstructions,ch.uzh.ciclassifier.features.configuration.UseBranches,ch.uzh.ciclassifier.features.configuration.UseCache,ch.uzh.ciclassifier.features.repository.CommitsUntilConfigAdded,ch.uzh.ciclassifier.features.repository.ConfigChangeFrequency,ch.uzh.ciclassifier.features.repository.DaysUntilConfigAdded,ch.uzh.ciclassifier.features.repository.NumberOfConfigurationFileChanges,ch.uzh.ciclassifier.features.repository.NumberOfContributors,ch.uzh.ciclassifier.features.travisci.BuildTimeAverage,ch.uzh.ciclassifier.features.travisci.BuildSuccessRatio,ch.uzh.ciclassifier.features.travisci.BuildTimeLatestAverage,ch.uzh.ciclassifier.features.travisci.ManualInteractionRatio,ch.uzh.ciclassifier.features.travisci.PullRequestRatio,ch.uzh.ciclassifier.features.travisci.TimeToFixAverage,ch.uzh.ciclassifier.features.travisci.TimeToFixLatestAverage
inikulin_ineed,0,0,0,5,2,0,1,2,0,0,0,1,0.013333334,6,2,3,76.0,0.2727272727272727,76.0,0.0,0.7272727272727273,1790079.0,0.0
nengo_nengo,5,0,7,143,11,2,2,3,10,0,1,287,0.042840376,197,73,50,3290.206989247312,0.5254297994269341,2041.16,0.0,0.0,339150.28571428574,445410.3333333333
rackspace_php-opencloud,1,1,0,36,4,3,1,13,3,1,0,484,0.014574898,201,36,88,1240.0,0.5666666666666667,1240.0,0.0,0.8333333333333334,5277977.333333333,0.0
Dolibarr_dolibarr,2,0,78,480,5,2,1,0,31,0,0,38713,0.0047810413,4150,439,520,3378.3957462617254,0.5444254466128177,811.08,0.0,0.4559732010789176,26199.079697498546,11916.261904761905
stepcode_stepcode,0,1,0,17,2,2,1,11,1,1,0,1337,0.004593477,1565,10,41,1228.9122807017543,0.8507462686567164,1239.0,0.0,0.6417910447761194,383053.28571428574,85685.0
GeoStat-Framework_welltestpy,6,0,9,86,6,1,3,2,8,0,0,11,0.125,307,19,3,426.531914893617,0.7692307692307693,631.32,0.015625,0.109375,90560.5,0.0
enterprisemodules_connect,2,1,0,44,31,0,1,13,1,0,1,54,0.04054054,18,9,6,2283.4438502673797,0.7137404580152672,3656.96,0.0,0.0,166892.875,0.0
bh107_benchpress,0,0,0,19,1,0,1,2,4,0,0,2480,0.0042177914,2276,11,15,92.51807228915662,0.8770491803278688,140.4,0.0,0.30851063829787234,7358.666666666667,0.0
richelbilderbeek_gausser,0,0,7,35,1,0,1,1,13,0,0,1,0.11111111,0,5,2,127.72727272727273,0.828125,130.2,0.0,0.0,2079604.0,0.0
cvxgrp_CVXcanon,0,0,8,44,2,0,1,1,16,0,0,187,0.16470589,69,56,14,314.25,0.2777777777777778,314.25,0.0,0.26666666666666666,0.0,0.0
TBlindaruk_laravel-request-mapper,1,1,0,26,3,0,1,13,3,0,0,12,0.1,8,4,2,299.6639344262295,0.8622047244094488,297.8,0.0,0.8321167883211679,201.625,0.0
jegelstaff_formulize,2,1,26,95,1,0,1,11,34,0,1,1596,0.025718609,2273,85,67,413.0625,0.022315202231520222,413.0625,0.0,0.29583333333333334,6056571.142857143,0.0
DGtal-team_DGtal,0,1,8,99,5,0,3,11,5,0,1,3221,0.031666066,916,352,63,8992.731070496084,0.38347352795645717,8423.76,5.027652086475615E-4,0.861236802413273,192488.29644268774,160950.14285714287
qbittorrent_qBittorrent,5,0,13,189,9,1,1,1,21,0,1,4545,0.009170912,2468,99,242,4321.738765432099,0.704102447869447,5668.88,0.0,0.827362715060099,35068.583333333336,56985.03389830508
babel_babel,2,0,6,65,5,1,1,2,7,1,1,317,0.0066737663,734,94,994,2141.824898785425,0.706915765322845,1069.0,0.0,0.7856592135697764,9339.761904761905,10165.9
